folder,instance,100,200,300,400,500
lodz,Poland Lodz 2020,1.759684669436299e-11,1.061536719393575e-10,2.0378146572623762e-10,2.25670233961781e-10,1.6313320398418102e-10
lodz,Poland Lodz 2022,5.6068800634902484e-11,4.088152555686847e-09,3.858262999519827e-09,2.728663967863052e-09,1.3572648583045728e-09
lodz,Poland Lodz 2023,4.60496797618907e-12,4.855012902076628e-11,2.2745529858755261e-10,2.470580959985166e-10,1.8460892112293004e-10
lodz,Poland Lodz 2024,1.3417864573511886e-10,5.231082050362117e-09,5.822462559172279e-09,5.0659419427683456e-09,2.9745992102112008e-09
